,ENTREZID,SYMBOL
946,1676,DFFA
947,167691,LCA5
948,167838,TXLNB
949,168400,DDX53
950,168451,THAP5
951,169200,TMEM64
952,169270,ZNF596
953,169834,ZNF883
954,170261,ZCCHC12
955,170394,PWWP2B
956,170591,S100Z
957,170685,NUDT10
958,170960,ZNF721
959,171017,ZNF384
960,171546,SPTSSA
961,1727,CYB5R3
962,1729,DIAPH1
963,1745,DLX1
964,1749,DLX5
965,1759,DNM1
966,1762,DMWD
967,1778,DYNC1H1
968,1783,DYNC1LI2
969,1805,DPT
970,1809,DPYSL3
971,1820,ARID3A
972,1827,RCAN1
973,1832,DSP
974,1839,HBEGF
975,1843,DUSP1
976,1845,DUSP3
977,1846,DUSP4
978,1848,DUSP6
979,1849,DUSP7
980,1850,DUSP8
981,1857,DVL3
982,1869,E2F1
983,1870,E2F2
984,1875,E2F5
985,189,AGXT
986,19,ABCA1
987,190,NR0B1
988,1908,EDN3
989,1912,PHC2
990,192111,PGAM5
991,1936,EEF1D
992,1938,EEF2
993,1943,EFNA2
994,1946,EFNA5
995,1948,EFNB2
996,1950,EGF
997,1955,MEGF9
998,195827,PRXL2C
999,195828,ZNF367
1000,196,AHR
1001,1961,EGR4
1002,196264,MPZL3
1003,1964,EIF1AX
1004,196410,TMT1B
1005,196477,CCER1
1006,196549,EEF1DP3
1007,196951,FAM227B
1008,196993,CT62
1009,197003,MGC15885
1010,197021,LCTL
1011,197187,SNAI3-AS1
1012,197322,ACSF3
1013,197342,EME2
1014,197370,NSMCE1
1015,1982,EIF4G2
1016,1983,EIF5
1017,1994,ELAVL1
1018,1995,ELAVL3
1019,199745,THAP8
1020,199870,FAM76A
1021,199899,LINC00466
1022,199953,TMEM201
1023,2001,ELF5
1024,2002,ELK1
1025,200407,CREG2
1026,200765,TIGD1
1027,200844,CFAP20DC
1028,200895,DHFR2
1029,200933,FBXO45
1030,200959,GABRR3
1031,2010,EMD
1032,2011,MARK2
1033,201134,CEP112
1034,201158,TVP23C
1035,201283,AMZ2P1
1036,201292,TRIM65
1037,201501,ZBTB7C
1038,201514,ZNF584
1039,2016,EMX1
1040,201627,DENND6A
1041,2017,CTTN
1042,2020,EN2
1043,202018,TAPT1
1044,202020,TAPT1-AS1
1045,202243,CCDC125
1046,202500,TCTE1
1047,203062,TSNARE1
1048,203069,R3HCC1
1049,203197,TMEM268
1050,203238,CCDC171
1051,203245,NAIF1
1052,203259,FAM219A
1053,203286,ANKS6
1054,203447,NRK
1055,203547,VMA21
1056,2037,EPB41L2
1057,2046,EPHA8
1058,2051,EPHB6
1059,2055,CLN8
1060,205717,USF3
1061,2066,ERBB4
1062,2067,ERCC1
1063,2068,ERCC2
1064,207,AKT1
1065,2072,ERCC4
1066,2073,ERCC5
1067,2074,ERCC6
1068,2077,ERF
1069,2101,ESRRA
1070,2108,ETFA
1071,2110,ETFDH
1072,2116,ETV2
1073,2117,ETV3
1074,2130,EWSR1
1075,2131,EXT1
1076,2137,EXTL3
1077,2145,EZH1
1078,2146,EZH2
1079,2150,F2RL1
1080,2152,F3
1081,2157,F8
1082,2167,FABP4
1083,217,ALDH2
1084,2176,FANCC
1085,2177,FANCD2
1086,2182,ACSL4
1087,2189,FANCG
1088,2191,FAP
1089,219347,TMEM254-AS1
1090,2194,FASN
1091,2195,FAT1
1092,219927,MRPL21
1093,219983,OR4D6
1094,220,ALDH1A3
1095,220002,CYB561A3
1096,220047,CCDC83
1097,220108,FAM124A
1098,220134,SKA1
1099,220213,OTUD1
1100,220359,TIGD3
1101,220729,SDHAP4
1102,220832,FABP5P3
1103,220930,ZEB1-AS1
1104,220980,TMEM72-AS1
1105,220988,HNRNPA3
1106,221002,RASGEF1A
1107,221037,JMJD1C
1108,221061,FAM171A1
1109,221078,NSUN6
1110,221079,ARL5B
1111,221150,SKA3
1112,221294,NT5DC1
1113,221322,TBC1D32
1114,221336,BEND6
1115,221424,LRRC73
1116,221443,OARD1
1117,221656,KDM1B
1118,221662,RBM24
1119,221830,POLR1F
1120,221833,SP8
1121,221935,SDK1
1122,221960,CCZ1B
1123,2220,FCN2
1124,222008,VSTM2A
1125,222029,DKFZp434L192
1126,222068,TMED4
1127,222166,MTURN
1128,222229,LRWD1
