,Var1,Freq
1908,Bcl6b,1
1910,Bcl7b,1
1913,Bcl9l,3
1916,Bco1,1
1918,Bcorl1,1
1919,Bcr,2
1920,Bdh2,2
1921,Bdkrb1,1
1923,Bdnf,4
1925,BE949265,1
1928,Becn2,1
1929,Begain,1
1930,Bend3,1
1931,Bend4,1
1933,Bend6,1
1934,Best1,1
1935,Best2,2
1937,Bet1l,1
1938,Bex1,1
1942,Bex6,1
1943,Bglap,1
1944,Bglap3,1
1945,Bgn,1
1946,Bhlha15,1
1947,Bhlha9,1
1949,Bhlhe22,1
1950,Bhlhe40,1
1951,Bhlhe41,2
1952,Bhmt2,1
1953,Bicc1,1
1956,Bicdl1,2
1957,Bicra,2
1960,Bik,1
1965,Birc5,1
1970,Blnk,2
1973,Bloc1s4,1
1976,Bloodlinc,1
1980,Bltp3b,1
1981,Blvra,1
1982,Bmal1,5
1985,Bmi1,1
1986,Bmncr,1
1988,Bmp10,1
1989,Bmp15,1
1990,Bmp2,2
1992,Bmp6,2
1997,Bmpr2,1
1999,Bmt2,1
2001,Bnip1,1
2002,Bnip2,1
2003,Bnip3,1
2005,Bnip5,1
2006,Boc,1
2009,Bok,2
2010,Bola1,1
2012,Bola3,1
2013,Bop1,1
2015,Borcs6,1
2016,Borcs7,1
2019,Bpi,1
2020,Bpifa5,1
2021,Bpifa6,1
2022,Bpifb1,1
2023,Bpifb3,1
2024,Bpifb6,2
2026,Bpnt2,1
2028,Braf,1
2030,Brca2,1
2031,Brcc3dc,1
2032,Brd1,2
2040,Bri3bp,1
2041,Brinp1,1
2047,Brms1,1
2052,Brsk2,1
2054,Brwd3,1
2056,Bsdc1,1
