"","Row.names","Gene.Symbol","ID","id","V12CBD","V15CBD","V59CBD","V75CBD","V77CBD","V96CBD","V99CBD","V100CBD","V12DMSO","V15DMSO","V59DMSO","V75DMSO","V77DMSO","V96DMSO","V99DMSO","V100DMSO"
"429","KLHDC2","KLHDC2","217906_at",633,-0.8382151,-0.8671987,-0.88827944,-0.8764237,-0.8449386,-0.84920317,-0.85144544,-0.897985,-0.8321639,-0.8914998,-0.8534847,-0.8519798,-0.8322177,-0.8308901,-0.8291627,-0.8321022
"64","BAG3","BAG3","217911_s_at",634,-0.21488096,0.031770274,0.05119051,0.06982583,-0.07218676,0.05754991,-0.26457936,0.15585388,-0.16045666,0.2049232,-0.11938402,-0.055631246,-0.097133785,-0.11375034,-0.12474498,-0.102858216
"169","CNPY3","CNPY3","217931_at",635,-0.22878698,-0.31860086,-0.33700725,-0.30762702,-0.30504504,-0.31000283,-0.09126051,-0.45727602,-0.21196336,-0.40652242,-0.22737406,-0.26900902,-0.18398814,-0.20015101,-0.20108765,-0.2285099
"435","LAP3","LAP3","217933_s_at",636,-0.07013911,0.08331142,0.024922822,0.043926883,-0.015562301,0.03561404,-0.05352232,-0.19107439,-0.0039988095,0.114217676,0.055486884,0.053236574,-0.014493962,0.024969552,0.022076119,-0.033104863
"801","STUB1","STUB1","217934_x_at",637,0.12692128,0.1369523,0.1707153,0.11596996,0.25252047,0.1382355,0.09666532,0.23838449,0.16007875,0.13918136,0.15639986,0.13273478,0.17871508,0.16864048,0.15174122,0.19693461
"535","NOSIP","NOSIP","217950_at",638,-0.612455,-0.59099185,-0.61146176,-0.6026971,-0.55564386,-0.57370603,-0.6171449,-0.6337066,-0.5869083,-0.57637334,-0.6102754,-0.5918601,-0.58426446,-0.5682191,-0.58027637,-0.5789667
"264","ENOPH1","ENOPH1","217956_s_at",639,0.6301664,0.5400071,0.5482439,0.5119029,0.51314294,0.6478661,0.66074324,0.5120246,0.5951186,0.5347344,0.5716596,0.5846498,0.61790156,0.6193282,0.60700893,0.58197063
"370","HSD17B11","HSD17B11","217989_at",640,0.15433821,0.0508604,-0.05693695,-0.009196209,0.2453565,0.13438869,0.31591663,0.33022964,0.04650716,0.00091548456,0.011455739,-0.0011119301,0.09321869,0.07586215,0.1103765,0.069301434
"496","MRPS2","MRPS2","218001_at",642,0.39621904,0.52989346,0.41167474,0.40375257,0.2974367,0.3708687,0.46569777,0.359103,0.51486367,0.6002984,0.4789684,0.54136974,0.47532234,0.48336315,0.4755286,0.47235194
"553","NUP85","NUP85","218014_at",643,0.8355391,0.8030758,0.45335695,0.77673507,0.65386295,0.55041385,1.0505908,0.69688123,0.7509888,0.830587,0.668105,0.8227668,0.7865456,0.7480604,0.73966813,0.6958682
"295","FIS1","FIS1","218034_at",644,-0.69478154,-0.73410606,-0.74939257,-0.75929683,-0.6721607,-0.7010272,-0.67956656,-0.77554625,-0.685193,-0.75380623,-0.71210897,-0.72325295,-0.69338745,-0.69535255,-0.6870571,-0.68495744
"556","NUSAP1","NUSAP1","218039_at",645,0.75666344,0.6672717,0.13197443,0.537312,0.367827,0.25521645,1.1085768,0.3151619,0.6709274,0.54456764,0.5077561,0.75437635,0.6538202,0.639095,0.6553947,0.5933424
"495","MRPS16","MRPS16","218046_s_at",646,0.18863733,0.14662749,-0.06459412,0.035853185,0.17068227,0.18232216,0.29024312,0.45036507,0.15702285,0.19401695,0.030421196,0.09669936,0.15052584,0.14497125,0.16822116,0.18282862
"896","UFM1","UFM1","218050_at",647,0.12797678,0.22890088,0.34261104,0.25039643,0.18298781,0.24345684,0.09294675,0.13469914,0.19996126,0.27516836,0.24451087,0.21062201,0.17429857,0.19594619,0.21293077,0.19515151
