Compound_CID,SMILES
5391,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
803,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
54897,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl
12835,COC1=CC2=C(C=C1)NC=C2CCO
14190,CC1=NC=C(C(=C1O)CO)CSSCC2=CN=C(C(=C2CO)O)C
6526,CCC(C)(CC)OC(=O)N
10236037,CCC[C@@H](C)C[C@@H](CC(=O)O)N
108186,C[C@@](CC1=CNC2=CC=CC=C21)(C(=O)NC[C@@H](C3=CC=CC=C3)NC(=O)CCC(=O)O)NC(=O)OC4C5CC6CC(C5)CC4C6.CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
82148,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
71416,CC1=NN(C2=C1C(=NCC(=O)N2C)C3=CC=CC=C3F)C.Cl
35775,CC1=NN(C2=C1C(=NCC(=O)N2C)C3=CC=CC=C3F)C
10391,C1=CC=C(C=C1)CNC(=O)CCCl
6257,COC1=CC=CC=C1OCC2CNC(=O)O2
6151,CCC(C)C(C)(COC(=O)N)COC(=O)N
5556,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl
146159225,C[C@]12CCC(CC1CCC3C2CC[C@]4(C3CCC4C(=O)CO)C)O
135412795,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CC=C4
101932822,C1C[C@@]([C@H]2[C@@H]1[C@H]2C(=O)O)(C(=O)O)N
10252640,CCN1C2=NC=C(C(=C2C=N1)NC3CCOCC3)C4=NN=C(O4)CC5=C(N=C(S5)C)C
9974162,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
5282426,CN(C)CC/C=C\1/C2=CC=CC=C2CSC3=CC=CC=C31
667477,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31
