Gene,Sample1,Sample2,Sample3
5.1561,5.1561,6.9693,211715_s_at
7.9097,7.9097,8.3329,211725_s_at
9.483,9.483,9.9346,211747_s_at
10.0511,10.0511,9.3202,211783_s_at
14.1024,14.1024,14.6937,211919_s_at
7.5679,7.5679,7.3436,212047_s_at
8.6228,8.6228,7.7978,212054_x_at
7.8921,7.8921,4.2552,212070_at
7.748,7.748,8.5482,212115_at
12.6637,12.6637,9.6208,212124_at
10.2579,10.2579,9.7667,212140_at
7.0694,7.0694,7.8177,212166_at
10.7515,10.7515,10.9609,212180_at
7.5561,7.5561,7.5334,212189_s_at
10.55,10.55,11.4203,212206_s_at
9.4952,9.4952,9.3118,212231_at
7.1501,7.1501,6.6185,212255_s_at
6.2841,6.2841,7.2768,212300_at
9.6704,9.6704,7.5698,212399_s_at
7.3903,7.3903,6.8921,212403_at
6.6701,6.6701,7.526,212453_at
6.3862,6.3862,6.8812,212458_at
10.1285,10.1285,8.9105,212462_at
9.3393,9.3393,9.4349,212485_at
6.9645,6.9645,6.5732,212500_at
7.8827,7.8827,7.7153,212536_at
8.9758,8.9758,8.914,212557_at
10.3138,10.3138,10.4889,212591_at
8.6888,8.6888,7.1782,212614_at
4.1147,4.1147,4.3349,212624_s_at
10.1566,10.1566,9.8503,212644_s_at
7.979,7.979,7.9703,212648_at
10.2305,10.2305,8.7072,212660_at
12.0704,12.0704,10.0651,212665_at
12.2313,12.2313,10.2734,212689_s_at
8.9064,8.9064,9.6471,212694_s_at
8.5528,8.5528,8.3178,212717_at
11.1302,11.1302,10.0313,212723_at
5.1403,5.1403,4.6611,212765_at
10.9255,10.9255,8.6636,212795_at
8.3103,8.3103,9.9873,212811_x_at
7.2796,7.2796,7.2001,212815_at
8.4535,8.4535,8.807,212833_at
8.5051,8.5051,9.1693,212846_at
7.1074,7.1074,6.1722,212851_at
9.2609,9.2609,9.0261,212871_at
7.163,7.163,6.4648,212875_s_at
7.4191,7.4191,7.662,212880_at
7.8644,7.8644,8.004,212894_at
9.6938,9.6938,8.6818,212899_at
8.5143,8.5143,7.9976,212910_at
9.9641,9.9641,9.1074,212943_at
10.4852,10.4852,10.4137,212955_s_at
8.2832,8.2832,8.1919,212968_at
8.994,8.994,10.9655,212973_at
9.4349,9.4349,8.8263,212997_s_at
8.9029,8.9029,9.5021,213135_at
6.4553,6.4553,4.2711,213150_at
5.5199,5.5199,4.8409,213190_at
8.3819,8.3819,7.5999,213233_s_at
7.1387,7.1387,6.4692,213292_s_at
4.6417,4.6417,5.5646,213343_s_at
5.1392,5.1392,4.4672,213417_at
4.1149,4.1149,8.863,213419_at
7.1694,7.1694,7.5338,213669_at
5.5272,5.5272,5.6532,213689_x_at
12.6121,12.6121,12.0183,213720_s_at
5.9903,5.9903,5.0814,213844_at
5.5163,5.5163,5.5331,213851_at
8.1789,8.1789,8.2068,213995_at
6.5829,6.5829,6.3123,214061_at
5.3692,5.3692,5.8372,214074_s_at
9.7806,9.7806,9.9718,214259_s_at
4.3598,4.3598,4.834,214404_x_at
8.9503,8.9503,9.1726,214741_at
9.3428,9.3428,10.7856,215000_s_at
6.1465,6.1465,6.3094,215093_at
6.0683,6.0683,5.8303,215116_s_at
9.9794,9.9794,8.9029,215884_s_at
7.947,7.947,7.5208,215903_s_at
5.5367,5.5367,4.9349,215945_s_at
6.5687,6.5687,7.009,215980_s_at
10.1831,10.1831,8.4776,216321_s_at
4.8437,4.8437,5.6975,216836_s_at
4.115,4.115,4.3912,216913_s_at
5.8847,5.8847,5.9997,217080_s_at
9.5807,9.5807,11.7965,217168_s_at
8.9898,8.9898,9.1912,217722_s_at
9.3979,9.3979,8.7286,217752_s_at
8.7761,8.7761,7.979,217758_s_at
9.6063,9.6063,10.6732,217761_at
5.6977,5.6977,5.9242,217763_s_at
10.0874,10.0874,10.1049,217766_s_at
6.8576,6.8576,7.7016,217777_s_at
8.715,8.715,8.6519,217784_at
10.0233,10.0233,10.1905,217789_at
11.142,11.142,11.0657,217809_at
12.0029,12.0029,10.5148,217825_s_at
9.8277,9.8277,9.1177,217838_s_at
4.6298,4.6298,4.4521,217867_x_at
9.6862,9.6862,9.911,217872_at
10.8098,10.8098,9.8915,217873_at
9.4244,9.4244,9.8232,217900_at
6.4021,6.4021,6.6133,217901_at
12.3538,12.3538,10.6504,217906_at
5.8418,5.8418,6.8499,217911_s_at
7.996,7.996,8.454,217931_at
9.9046,9.9046,10.9285,217933_s_at
9.2031,9.2031,9.1287,217934_x_at
9.2616,9.2616,9.6281,217950_at
9.0378,9.0378,9.5099,217956_s_at
11.1034,11.1034,9.8906,217989_at
8.3216,8.3216,7.4723,217995_at
8.0997,8.0997,8.4455,218001_at
9.7535,9.7535,10.7156,218014_at
9.2977,9.2977,8.9959,218034_at
12.5784,12.5784,13.6233,218039_at
7.2723,7.2723,7.9799,218046_s_at
9.3358,9.3358,9.5207,218050_at
8.1619,8.1619,9.0008,218051_s_at
9.1112,9.1112,8.9117,218064_s_at
5.5918,5.5918,5.0028,218086_at
10.0029,10.0029,9.6031,218093_s_at
8.8155,8.8155,8.4436,218102_at
9.0359,9.0359,8.4171,218104_at
10.4595,10.4595,10.2513,218108_at
7.0393,7.0393,6.1792,218113_at
7.0008,7.0008,9.4952,218145_at
11.5582,11.5582,11.0624,218149_s_at
9.6988,9.6988,9.0547,218168_s_at
7.793,7.793,8.6366,218170_at
7.8173,7.8173,6.9661,218175_at
7.3972,7.3972,7.9122,218193_s_at
10.9701,10.9701,10.5771,218206_x_at
6.7954,6.7954,7.5579,218215_s_at
5.4068,5.4068,4.9438,218245_at
8.3371,8.3371,8.8953,218249_at
8.2399,8.2399,9.0199,218290_at
8.7616,8.7616,8.7817,218316_at
11.6448,11.6448,8.0793,218346_s_at
11.4733,11.4733,12.2399,218350_s_at
10.6978,10.6978,10.2261,218358_at
7.2595,7.2595,7.7433,218375_at
10.0058,10.0058,10.4292,218399_s_at
8.4623,8.4623,8.0728,218407_x_at
10.5951,10.5951,9.5294,218421_at
9.48,9.48,9.4868,218435_at
